"","hgnc","ensembl_gene_id","entrez","chromosome","start_position","end_position","strand"
"1","IFIT2","ENSG00000119922",3433,"10",89283694,89309271,"+"
"2","CXCL10","ENSG00000169245",3627,"4",76021118,76023497,"-"
"3","RSAD2","ENSG00000134321",91543,"2",6865557,6898239,"+"
"4","CXCL11","ENSG00000169248",6373,"4",76033682,76041415,"-"
"5","TNFSF10","ENSG00000121858",8743,"3",172505508,172523475,"-"
"6","IFIT1","ENSG00000185745",3434,"10",89392546,89406487,"+"
"7","GBP1","ENSG00000117228",2633,"1",89051882,89065360,"-"
"8","RIGI","ENSG00000107201",23586,"9",32455302,32526348,"-"
"9","IFIT3","ENSG00000119917",3437,"10",89327307,89377473,"+"
"10","HERC5","ENSG00000138646",51191,"4",88457119,88506163,"+"
"11","OASL","ENSG00000135114",8638,"12",121017763,121039246,"-"
"12","STAP1","ENSG00000035720",26228,"4",67558727,67607337,"+"
"13","HELZ2","ENSG00000130589",85441,"20",63558086,63574239,"-"
"14","USP18","ENSG00000184979",11274,"22",18149843,18177397,"+"
"15","BATF2","ENSG00000168062",116071,"11",64987945,64997018,"-"
"16","CCL8","ENSG00000108700",6355,"17",34319435,34321402,"+"
"17","XAF1","ENSG00000132530",54739,"17",6755447,6775647,"+"
"18","APOL1","ENSG00000100342",8542,"22",36253071,36267530,"+"
"19","101927546",NA,101927546,NA,NA,NA,NA
"20","APOL3","ENSG00000128284",80833,"22",36139792,36166177,"-"
"21","HESX1","ENSG00000163666",8820,"3",57197838,57227606,"-"
"22","CMPK2","ENSG00000134326",129607,"2",6840570,6866635,"-"
"23","CFB","ENSG00000241534",629,"6",31945650,31952086,"+"
"24","IGFBP4","ENSG00000141753",3487,"17",40443450,40457725,"+"
"25","PDGFRL","ENSG00000104213",5157,"8",17576433,17644071,"+"
"26","LAG3","ENSG00000089692",3902,"12",6772512,6778455,"+"
"27","HES4","ENSG00000188290",57801,"1",998962,1000172,"-"
"28","MX1","ENSG00000157601",4599,"21",41420020,41470071,"+"
"29","TMEM229B","ENSG00000198133",161145,"14",67447084,67533739,"-"
"30","PAX5","ENSG00000196092",5079,"9",36833269,37034268,"-"
"31","OAS2","ENSG00000111335",4939,"12",112978395,113011723,"+"
"32","GMPR","ENSG00000137198",2766,"6",16238587,16295549,"+"
"33","MX2","ENSG00000183486",4600,"21",41361999,41409393,"+"
"34","SIDT2","ENSG00000149577",51092,"11",117178736,117197445,"+"
"35","TIMD4","ENSG00000145850",91937,"5",156919292,156963226,"-"
"36","NUPR1","ENSG00000176046",26471,"16",28532708,28539008,"-"
"37","IFIH1","ENSG00000115267",64135,"2",162267074,162318684,"-"
"38","NT5C3A","ENSG00000122643",51251,"7",33014113,33062796,"-"
"39","PSMB9","ENSG00000243958",5698,"6",32844136,32860734,"+"
